,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Higd1b,31.1525432,-7.477036592,1.346607055,-5.552500683,2.82E-08,2.89E-07
Nhlh1,2564.141486,-7.46553174,0.375567702,-19.8779919,6.31E-88,4.99E-84
Mymx,16.86630338,-7.435010884,1.446153515,-5.141232106,2.73E-07,2.42E-06
Insm2,207.882482,-7.34215489,0.701611437,-10.4647024,1.25E-25,9.93E-24
Usp44,139.67454,-7.339880771,0.814795503,-9.008248998,2.09E-19,7.93E-18
Neurog1,14.05980229,-7.300673122,1.48291125,-4.923203006,8.51E-07,6.94E-06
Ptf1a,42.7206013,-7.101251879,1.176207621,-6.037413591,1.57E-09,1.92E-08
Igsf5,12.05462391,-7.08048239,1.520268317,-4.657389956,3.20E-06,2.34E-05
Chrna3,729.6260695,-7.043756989,0.438664172,-16.05728809,5.08E-58,3.49E-55
Znrf4,16.79236852,-7.042347291,1.443220272,-4.879606688,1.06E-06,8.50E-06
Robo4,253.2045764,-7.03708296,0.592228881,-11.88237046,1.46E-32,2.10E-30
Olig3,65.74767223,-6.988782261,0.962294243,-7.262625036,3.80E-13,7.23E-12
Adamts19,74.80945609,-6.887927512,0.941470409,-7.31613808,2.55E-13,4.94E-12
Ushbp1,248.2827953,-6.874893972,0.611639832,-11.2401018,2.59E-29,2.88E-27
Ebf3,4292.643762,-6.821201047,0.36784721,-18.54357152,9.19E-77,2.90E-73
Dcc,3370.595011,-6.78380863,0.419781457,-16.16033417,9.60E-59,7.99E-56
Il1b,22.23482703,-6.776432035,1.29551995,-5.230665909,1.69E-07,1.55E-06
Fam124b,18.26044806,-6.72096244,1.418729632,-4.737310259,2.17E-06,1.64E-05
Hist1h2an,9.564191066,-6.69565437,1.589398842,-4.212696141,2.52E-05,0.000154974
Nos3,364.7608744,-6.686448185,0.500947897,-13.34759208,1.22E-40,3.72E-38
AL592112.1,9.467366896,-6.650837874,1.593939909,-4.172577546,3.01E-05,0.00018176
Ripply3,77.73193206,-6.562861316,0.821856181,-7.985413349,1.40E-15,3.48E-14
Dmrta1,136.2321163,-6.481423201,0.718679313,-9.018519229,1.91E-19,7.24E-18
Hba-a2,8.148904502,-6.441083567,1.644759227,-3.91612551,9.00E-05,0.000488464
Meox1,41.57833416,-6.41733541,1.016830772,-6.31111448,2.77E-10,3.72E-09
Cldn3,106.2264569,-6.377235273,0.730875992,-8.725468264,2.65E-18,8.86E-17
Myod1,56.17270763,-6.35179312,0.877739436,-7.236536106,4.60E-13,8.60E-12
Kirrel2,605.1649119,-6.322235655,0.429255248,-14.7283829,4.24E-49,2.16E-46
Erg,107.5012096,-6.312723385,0.74922572,-8.42566294,3.59E-17,1.08E-15
Icam2,59.2547529,-6.274966574,0.87618125,-7.161722044,7.97E-13,1.44E-11
Prdm13,414.7012636,-6.233287857,0.470735727,-13.24158653,5.05E-40,1.48E-37
Slco2b1,310.7012719,-6.225267875,0.4860968,-12.80664237,1.51E-37,3.21E-35
AC131692.1,23.97385048,-6.215479747,1.236823746,-5.025356093,5.02E-07,4.25E-06
Fgf3,12.61988898,-6.200980774,1.485166916,-4.175275321,2.98E-05,0.00017985
Ccm2l,84.58382182,-6.199595962,0.727691179,-8.519542552,1.60E-17,4.99E-16
