"","X.1","X","res.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"1465",1465,6405,"peak6405","3.210296525",1622.917805,1.177723627,0.131951158,8.925451222,4.44e-19,3.7e-18,17.43122056,"Sig","Unchanged","Grm1","Promoter"
"1735",1735,7646,"peak7646","2.36765938",233.1628635,-1.659626509,0.229967345,-7.216792046,5.32e-13,3.05e-12,11.51606754,"Sig","Unchanged","Sh3rf3","Promoter"
"1736",1736,7664,"peak7664","2.434534958",271.9787403,-3.623563122,0.197039495,-18.39003457,1.58e-75,1.24e-73,72.90540851,"Sig","Down","Sh3rf3","Promoter"
"1763",1763,7798,"peak7798","2.890919591",777.8925112,0.944597297,0.13857202,6.816652424,9.32e-12,4.88e-11,10.3114646,"Sig","Unchanged","Unc5b","Promoter"
"1764",1764,7799,"peak7799","3.278134984",1897.295531,1.066347386,0.143305715,7.44106672,9.99e-14,6.01e-13,12.22126315,"Sig","Unchanged","Unc5b","Promoter"
"1765",1765,7800,"peak7800","2.354502506",226.2051591,0.753479008,0.202053017,3.729115349,0.000192153,0.000479818,3.318923801,"Sig","Unchanged","Unc5b","Promoter"
"1766",1766,7801,"peak7801","3.50663285",3210.944878,1.326158448,0.165801354,7.998477777,1.26e-15,8.59e-15,14.06598201,"Sig","Unchanged","Unc5b","Promoter"
"2017",2017,8628,"peak8628","2.647123488",443.7347979,1.516728912,0.154525537,9.815393253,9.67e-23,9.87e-22,21.00587292,"Sig","Unchanged","Hcn2","Promoter"
"2128",2128,8780,"peak8780","2.836679101",686.5609551,1.608231304,0.174915318,9.194342274,3.77e-20,3.36e-19,18.47384621,"Sig","Unchanged","Gadd45b","Promoter"
"2505",2505,10440,"peak10440","3.2618055",1827.281679,2.46057004,0.180352031,13.64315126,2.22e-42,5.31e-41,40.27506509,"Sig","Up","Agap2","Promoter"
"2508",2508,10446,"peak10446","3.070854242",1177.210813,1.099760535,0.144287156,7.622026559,2.5e-14,1.56e-13,12.80587997,"Sig","Unchanged","B4galnt1","Promoter"
"2698",2698,10787,"peak10787","1.795560068",62.45397251,0.337837859,0.306385081,1.102657666,0.270175857,0.336955911,0.47242692,"Not Sig","Unchanged","Gas2l1","Promoter"
"2699",2699,10788,"peak10788","2.313263594",205.7138791,1.149550654,0.18879285,6.08895228,1.14e-09,5.05e-09,8.296541893,"Sig","Unchanged","Gas2l1","Promoter"
"2862",2862,11512,"peak11512","1.517062277",32.88987907,0.653256377,0.40578491,1.609858723,0.107428702,0.151219594,0.820391931,"Not Sig","Unchanged","Rhbdf1","Promoter"
"2863",2863,11513,"peak11513","2.485129582",305.5832757,0.363841073,0.161380436,2.254555026,0.024161273,0.040308703,1.394601174,"Sig","Unchanged","Rhbdf1","Promoter"
"3024",3024,12211,"peak12211","3.258658683",1814.089388,1.946584921,0.135077789,14.41084384,4.42e-47,1.25e-45,44.90251875,"Sig","Unchanged","Septin8","Promoter"
"3025",3025,12212,"peak12212","2.742807109",553.104395,1.930374794,0.151199383,12.76708117,2.5e-37,4.96e-36,35.3042441,"Sig","Unchanged","Septin8","Promoter"
"3026",3026,12213,"peak12213","3.12510599",1333.846918,3.178631205,0.118984846,26.7145885,3.19e-157,2.94e-154,153.531466,"Sig","Up","Septin8","Promoter"
"3167",3167,12608,"peak12608","3.424776857",2659.358316,2.812749008,0.319714431,8.797691733,1.4e-18,1.13e-17,16.94630569,"Sig","Up","Kcnj12","Promoter"
"3168",3168,12617,"peak12617","2.053728039",113.169146,2.173847273,0.247600151,8.779668596,1.64e-18,1.32e-17,16.87829214,"Sig","Up","Kcnj12","Promoter"
"3286",3286,13011,"peak13011","1.349218868",22.34698145,-1.925426724,0.49840791,-3.863154423,0.000111932,0.000289747,3.53798129,"Sig","Unchanged","Chd3","Promoter"
"3287",3287,13012,"peak13012","2.811305736",647.5983537,-0.672089436,0.153957872,-4.3654113,1.27e-05,3.73e-05,4.428453798,"Sig","Unchanged","Chd3","Promoter"
"3288",3288,13013,"peak13013","3.001730551",1003.992689,-0.634870511,0.144001801,-4.408767867,1.04e-05,3.09e-05,4.510234186,"Sig","Unchanged","Chd3","Promoter"
"3289",3289,13014,"peak13014","2.491090351",309.8063757,0.222546363,0.150264632,1.481029564,0.138598696,0.189027392,0.723475257,"Not Sig","Unchanged","Chd3","Promoter"
"3498",3498,13538,"peak13538","1.426456648",26.69664262,-0.274964276,0.43955431,-0.62555245,0.531608536,0.598534581,0.222910753,"Not Sig","Unchanged","Ankrd13b","Promoter"
"3499",3499,13539,"peak13539","1.229887443",16.97803571,0.533225774,0.559277446,0.953419054,0.340377791,0.410413242,0.386778635,"Not Sig","Unchanged","Ankrd13b","Promoter"
"3500",3500,13541,"peak13541","2.182413751",152.1996839,1.431140239,0.206374192,6.934686079,4.07e-12,2.19e-11,10.65960836,"Sig","Unchanged","Ankrd13b","Promoter"
"3501",3501,13542,"peak13542","2.551914066",356.380609,0.407820339,0.194544745,2.096280415,0.036057323,0.057590611,1.239648316,"Not Sig","Unchanged","Ankrd13b","Promoter"
"3521",3521,13577,"peak13577","1.690693473",49.05615139,-1.195951451,0.323481472,-3.697125046,0.000218055,0.000539874,3.267707743,"Sig","Unchanged","Pipox","Promoter"
"3522",3522,13578,"peak13578","2.643345148",439.8910723,0.979498429,0.150065514,6.527138751,6.7e-11,3.3e-10,9.481938636,"Sig","Unchanged","Pipox","Promoter"
"3523",3523,13579,"peak13579","2.7837595",607.7983262,0.501835264,0.169383785,2.962711367,0.003049424,0.006183931,2.208735334,"Sig","Unchanged","Pipox","Promoter"
"3524",3524,13583,"peak13583","3.258079421",1811.671371,-0.882422164,0.152840728,-5.773475285,7.77e-09,3.21e-08,7.492991938,"Sig","Unchanged","Sez6","Promoter"
"3525",3525,13586,"peak13586","1.289637196",19.48216404,-0.496642593,0.532391743,-0.932851795,0.350896494,0.421247036,0.375463142,"Not Sig","Unchanged","Sez6","Promoter"
"3526",3526,13587,"peak13587","2.583360324",383.1424955,0.601499392,0.145391317,4.137106693,3.52e-05,9.77e-05,4.010193791,"Sig","Unchanged","Sez6","Promoter"
"3527",3527,13589,"peak13589","2.647767114",444.3929028,0.207961442,0.151005701,1.377176097,0.16845781,0.224001681,0.649748722,"Not Sig","Unchanged","Sez6","Promoter"
"3528",3528,13590,"peak13590","1.474386124",29.81165754,0.575486835,0.416432421,1.381945319,0.166988492,0.222288876,0.653082271,"Not Sig","Unchanged","Sez6","Promoter"
"3529",3529,13591,"peak13591","1.340726231",21.91423077,1.084217959,0.523240707,2.072120811,0.038254176,0.060716883,1.216690532,"Not Sig","Unchanged","Sez6","Promoter"
"3596",3596,13790,"peak13790","2.783889494",607.9802815,-0.29428045,0.379341479,-0.775766601,0.437886808,0.508623286,0.29360376,"Not Sig","Unchanged","Asic2","Promoter"
"3600",3600,13818,"peak13818","1.1639975",14.58805862,-1.251825373,0.605685341,-2.066791598,0.038753796,0.061406696,1.211784273,"Not Sig","Unchanged","Asic2","Promoter"
"3601",3601,13819,"peak13819","1.650052328",44.67374165,-1.986932495,0.361009003,-5.503830872,3.72e-08,1.44e-07,6.842023885,"Sig","Unchanged","Asic2","Promoter"
"3728",3728,14266,"peak14266","3.333284475",2154.192328,2.074961837,0.33957691,6.110432645,9.94e-10,4.44e-09,8.35245811,"Sig","Up","Car10","Promoter"
"3743",3743,14394,"peak14394","2.393180346",247.2750771,0.616548371,0.178464539,3.454738817,0.000550826,0.001276881,2.893849645,"Sig","Unchanged","Cacna1g","Promoter"
"3744",3744,14395,"peak14395","2.277759888",189.5657565,1.589984144,0.197237253,8.061277081,7.55e-16,5.22e-15,14.282254,"Sig","Unchanged","Cacna1g","Promoter"
"3745",3745,14396,"peak14396","2.23948073",173.5724246,0.529043161,0.18464043,2.865261739,0.004166647,0.008226718,2.084773377,"Sig","Unchanged","Cacna1g","Promoter"
"3746",3746,14397,"peak14397","1.899423607",79.32747057,-0.935309149,0.257729533,-3.629033651,0.000284484,0.000691194,3.160399752,"Sig","Unchanged","Cacna1g","Promoter"
"3747",3747,14403,"peak14403","2.857222077",719.816964,-0.168510499,0.184256116,-0.914544942,0.360430574,0.431072177,0.365450007,"Not Sig","Unchanged","Cacna1g","Promoter"
"4061",4061,15026,"peak15026","3.22645839",1684.451029,1.923280481,0.164415105,11.69771159,1.31e-31,2.03e-30,29.69171016,"Sig","Unchanged","Adam11","Promoter"
"4062",4062,15027,"peak15027","1.629449147",42.60387946,2.940562932,0.41411249,7.100879605,1.24e-12,6.93e-12,11.15898289,"Sig","Up","Adam11","Promoter"
"4063",4063,15028,"peak15028","2.896133614",787.2879673,0.555997054,0.148899267,3.734048301,0.000188426,0.000471195,3.326799549,"Sig","Unchanged","Adam11","Promoter"
"4096",4096,15091,"peak15091","2.487669354",307.3755747,1.872189905,0.183161073,10.2215491,1.59e-24,1.78e-23,22.7505852,"Sig","Unchanged","Arhgap27","Promoter"
"4098",4098,15093,"peak15093","1.821514551",66.30015604,0.717107205,0.281814216,2.54460976,0.010939992,0.019756546,1.70428899,"Sig","Unchanged","Arhgap27","Promoter"
