"","p14_1","p14_2","p14_3","p60_1","p60_2","p60_3","p7_1","p7_2","p7_3","Gene"
"AC124316.1",4.44254217144345,4.58756062908026,4.30570654161492,4.82166923979832,4.99210659779452,4.64563940813467,3.94681959180372,3.94681959180372,4.34308198590873,"AC124316.1"
"AC124459.1",4.55248688125715,4.26915876137029,4.30570654161492,4.34284185378424,4.32345067233676,4.29878195671709,4.56916238365795,4.59072332715974,4.50548537441962,"AC124459.1"
"AC124502.1",8.1007739278118,8.00231475724096,8.1507475257928,8.36396523047058,8.56206403034506,8.08056828281483,7.68312657101165,7.81703853396394,8.13803859721212,"AC124502.1"
"AC124502.3",4.64451239691233,5.12260116467598,4.65918668651895,5.04383898986576,5.16316664309124,4.72626994137703,4.88806911319733,4.92002524512407,4.82218725230798,"AC124502.3"
"AC124502.4",4.79729798369832,4.7284351313303,4.65918668651895,4.97593095163481,5.16316664309124,4.72626994137703,4.82037893055,4.98454309832297,4.73210749613293,"AC124502.4"
"AC124502.5",4.55248688125715,4.7284351313303,4.65918668651895,4.90235884448628,4.47796538215946,4.98291715482818,5.11555484286124,4.59072332715974,4.97653352175322,"AC124502.5"
"AC124512.1",4.86331195426415,4.58756062908026,3.94681959180372,4.82166923979832,3.94681959180372,4.44335055821301,5.2562692110534,5.29931068946088,5.27628915649811,"AC124512.1"
"AC124553.1",4.2982061523158,4.50284177895054,3.94681959180372,4.62854551761038,4.47796538215946,4.44335055821301,4.30797798885145,4.68833319517471,3.94681959180372,"AC124553.1"
"AC124578.1",4.2982061523158,3.94681959180372,3.94681959180372,4.34284185378424,4.59553872099476,4.29878195671709,4.56916238365795,3.94681959180372,4.50548537441962,"AC124578.1"
"AC125059.1",6.7382092648646,6.60280294725142,6.22222789000025,6.09349472838366,5.86998589337716,6.08587930424912,6.66327383037532,6.67858454029499,6.55258228467722,"AC125059.1"
"AC125059.3",6.89406878175385,6.74789687958035,6.77134411041447,7.13164833794454,7.45406460848036,6.94240415720488,6.96711798077891,6.86103842239866,7.42869995750167,"AC125059.3"
"AC125059.4",8.62314676025997,8.7270727400423,8.65602025534808,8.32231464968636,8.61366379280208,8.27834668277698,7.51596079090229,7.4617562227336,7.77752611045114,"AC125059.4"
"AC125093.1",6.68650045354917,6.95427083289292,6.94146006897194,7.09463453479841,7.05127645579173,7.10808913495626,7.72369258113937,7.55319487305136,7.57862533466497,"AC125093.1"
"AC125101.1",4.64451239691233,5.08194174594527,5.15741732573034,5.1664440179768,5.6564144213422,5.41995755365476,4.74623803316136,4.59072332715974,4.50548537441962,"AC125101.1"
"AC125110.1",5.03478601889008,5.08194174594527,5.29119760423459,5.54871353689231,5.43698964137173,5.52230525215835,5.59268446131846,5.38582614006356,5.22317433573945,"AC125110.1"
"AC125122.2",4.2982061523158,4.26915876137029,4.30570654161492,3.94681959180372,3.94681959180372,4.29878195671709,4.6636280876042,4.4740014290903,5.10776852115503,"AC125122.2"
"AC125156.1",4.86331195426415,4.50284177895054,3.94681959180372,4.62854551761038,4.59553872099476,3.94681959180372,3.94681959180372,3.94681959180372,3.94681959180372,"AC125156.1"
"AC125456.1",4.7250186872057,4.66175414106674,4.8823193403231,4.62854551761038,4.47796538215946,4.64563940813467,4.74623803316136,4.98454309832297,4.50548537441962,"AC125456.1"
"AC125458.1",5.13334508598223,4.99492132697532,5.70552443298329,5.10709643209479,4.69384908674737,4.86477231022008,5.29917629650479,5.25326633833327,5.80354652201626,"AC125458.1"
"AC126029.2",4.44254217144345,4.26915876137029,4.45307066566371,4.62854551761038,4.69384908674737,4.64563940813467,4.45625851106335,4.32062439631151,4.62895390602379,"AC126029.2"
"AC126040.2",6.93871559011151,6.78963999073981,6.51652870427518,6.26413278744383,6.6013286487409,6.29544507730264,7.49263474926967,7.34550909054262,7.1084870083603,"AC126040.2"
"AC126438.1",3.94681959180372,4.40173776365751,4.30570654161492,3.94681959180372,3.94681959180372,3.94681959180372,4.74623803316136,4.59072332715974,3.94681959180372,"AC126438.1"
"AC126695.1",4.7250186872057,4.50284177895054,5.00254499174167,3.94681959180372,4.59553872099476,4.79865924143784,4.82037893055,4.92002524512407,4.73210749613293,"AC126695.1"
"AC126937.1",5.45283755948634,5.80652825539845,5.76229181758943,5.46487775442648,5.43698964137173,5.52230525215835,5.95367112887571,5.98951462806705,6.3102915473867,"AC126937.1"
"AC126937.2",6.57686909156055,6.54264819501172,6.5624187392555,6.19368818130381,6.29551336402215,6.38077481026783,8.03404639449236,7.98122387200647,8.05127381694845,"AC126937.2"
"AC126942.2",4.44254217144345,4.40173776365751,3.94681959180372,4.34284185378424,4.47796538215946,4.29878195671709,4.45625851106335,4.4740014290903,4.73210749613293,"AC126942.2"
"AC127249.1",5.8579677899486,5.71710373260036,5.67611289612046,6.0671986009708,6.66430796457579,6.36413718304727,6.97844659749133,6.61722870486503,6.3102915473867,"AC127249.1"
"AC127256.1",4.7250186872057,4.78939785464179,5.20398869505069,4.50514889364436,4.47796538215946,4.86477231022008,6.15417873679482,6.1978959058007,6.82056800452597,"AC127256.1"
"AC127331.2",4.44254217144345,4.66175414106674,4.8150177324411,4.97593095163481,4.59553872099476,5.48920536554771,4.45625851106335,4.4740014290903,4.82218725230798,"AC127331.2"
"AC127347.1",4.44254217144345,4.26915876137029,3.94681959180372,4.34284185378424,4.32345067233676,4.44335055821301,4.88806911319733,4.32062439631151,3.94681959180372,"AC127347.1"
