Gene,p7_1,p7_2,p7_3,p14_1,p14_2,p14_3,p60_1,p60_2,p60_3,
Frrs1,7.782458811,7.520620579,7.120827009,6.533387362,6.517825025,6.31567495,6.532706149,5.436989641,6.461019178,
Frrs1l,12.00114512,12.25454005,11.68082301,13.87960418,13.70389035,13.41390144,13.82757598,14.29091226,14.25223309,
Frzb,7.317653661,8.079217231,7.830676729,9.96519687,9.904220514,10.0312503,7.887549956,7.731846303,7.612160119,
Fscn1,13.08068355,12.91616423,13.21916331,11.75307183,11.97200249,12.15518516,10.92718914,11.23921909,10.77618814,
Fsip1,5.744339049,5.299310689,5.736270951,4.644512397,4.845814326,4.565287377,5.326058067,5.052653307,5.224813133,
Fst,6.154178737,5.964146159,5.589360288,4.797297984,4.587560629,4.944524007,4.902358844,5.052653307,4.798659241,
Fstl1,11.79887619,11.6647294,11.59770148,11.28671189,10.77561699,11.06342453,10.16551903,10.09947929,10.30783696,
Fstl3,5.299176297,5.205081865,4.902921446,5.807755884,5.62056132,5.409872943,5.897041016,5.924817337,5.810455313,
Fstl4,7.814091405,7.776314387,7.979213635,9.625561394,9.345279128,9.415233722,8.53320028,8.847085881,8.6241639,
Fth1,13.50965955,13.51911275,13.79718324,13.75024839,13.83513595,14.28575631,14.49523898,14.50337916,14.84945391,
Ftl1,10.86632942,10.82086384,11.17596155,9.784446875,10.0010158,10.18659552,9.693519008,9.668457152,9.489050183,
Fuca2,9.590184338,9.590089854,9.436985089,10.52467072,10.43970348,10.51355727,10.94355745,10.98761734,11.05605017,
Fundc1,10.17683189,10.26805682,9.622055049,10.72133751,10.55465727,10.46542473,11.05400631,11.12437182,11.30829232,
Fuom,7.86329104,7.734395091,8.132012269,8.568207804,8.708506219,9.045006247,9.5410307,9.259366705,9.379380582,
Fut2,5.744339049,6.086265615,6.120391647,6.63277746,6.758451124,6.986484232,6.977356453,7.226388512,7.193364437,
Fut4,5.744339049,5.426639249,5.898077607,5.452837559,5.039457664,5.248511745,4.505148894,4.856833997,5.135195632,
Fxyd1,8.466240466,8.117697508,8.167796153,9.124430136,9.100949436,9.712830336,11.33240466,10.71930635,10.63100943,
