"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"20425",80961,80961,"1.87277083",74.60549737,1.491424149,0.611294583,2.439779755,0.014696219,0.058940812,1.229583886,"Not Sig","Unchanged","Cntfr","Promoter"
"20431",80969,80969,"1.434746764",27.21114169,1.237531203,0.622337147,1.988522153,0.046753971,0.136692569,0.864255093,"Not Sig","Unchanged","Arid3c","Promoter"
"20432",80970,80970,"2.027594306",106.560023,1.213863032,0.501490385,2.420511076,0.015498707,0.06135508,1.212149476,"Not Sig","Unchanged","Arid3c","Promoter"
"20444",80995,80995,"2.826996307",671.423144,2.344523792,0.662461882,3.539107467,0.000401482,0.00424122,2.37250921,"Sig","Up","Phf24","Promoter"
"20445",80996,80996,"2.035421652",108.4979799,0.261018326,0.408597371,0.638815479,0.522942977,0.694364347,0.158412586,"Not Sig","Unchanged","Phf24","Promoter"
"20446",80997,80997,"1.336807501",21.71738353,-0.682475735,0.613732799,-1.112007922,0.266134744,0.453192631,0.343717161,"Not Sig","Unchanged","Phf24","Promoter"
"20447",80998,80998,"1.116318903",13.07130363,-0.29903688,0.729508762,-0.409915405,0.681868005,NA,NA,"Not Sig","Unchanged","Phf24","Promoter"
"20479",81046,81046,"2.65076493",447.4710363,1.187680709,0.384410051,3.089619289,0.002004132,0.013705493,1.863105351,"Not Sig","Unchanged","Arhgef39","Promoter"
"20562",81274,81274,"3.174427186",1494.263491,2.196585787,0.646732481,3.396436472,0.000682694,0.006264417,2.203119355,"Sig","Up","Tdrd7","Promoter"
"20563",81277,81277,"2.809309446",644.6284162,2.050946896,0.423824346,4.839143652,1.3e-06,5.55e-05,4.255632895,"Sig","Up","Tmod1","Promoter"
"20564",81278,81278,"1.500868317",31.68606557,1.041888201,0.590878958,1.763285333,0.077852378,0.196290183,0.70710142,"Not Sig","Unchanged","Tmod1","Promoter"
"20565",81279,81279,"1.819792691",66.03781427,1.713444287,0.477878533,3.585522613,0.000336404,0.003720157,2.429438693,"Not Sig","Unchanged","Tmod1","Promoter"
"20566",81280,81280,"1.975320307",94.47574097,1.30698012,0.443772339,2.945159053,0.003227887,0.019441688,1.711266027,"Not Sig","Unchanged","Tmod1","Promoter"
"20567",81289,81289,"2.48459793",305.2094177,-0.342026545,0.47788443,-0.715709748,0.47417059,0.653903364,0.184486428,"Not Sig","Unchanged","Tmod1","Promoter"
"20568",81294,81294,"2.094180327",124.216797,1.090357334,0.399765564,2.72749189,0.006381783,0.031923818,1.495885178,"Not Sig","Unchanged","Tmod1","Promoter"
"20569",81295,81295,"1.402921997",25.28843756,0.276335617,0.565911184,0.488302095,0.625335878,0.772335673,0.112193905,"Not Sig","Unchanged","Tmod1","Promoter"
