"","X","res_n_3.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logpadj","significant","change","SYMBOL","annotation"
"30752",119465,119465,"1.689909215",48.96764469,1.395357224,0.659812742,2.114777626,0.034448905,0.109820823,0.959315305,"Not Sig","Unchanged","Piezo1","Promoter"
"30753",119472,119472,"2.692374171",492.4636397,1.5250759,0.632115266,2.412654752,0.015836813,0.062287587,1.205598496,"Not Sig","Unchanged","Piezo1","Promoter"
"30810",119621,119621,"1.689098864",48.87636107,0.766120085,0.558936242,1.370675271,0.170476207,0.337046018,0.472310799,"Not Sig","Unchanged","Gm25018","Promoter"
"30811",119622,119622,"1.419069279",26.24637196,2.209943541,0.776092196,2.847527075,0.004406035,0.024412051,1.612395728,"Sig","Up","Gm23284","Promoter"
"31174",121399,121399,"2.614609727",411.7273598,1.254132638,0.367686029,3.410879227,0.000647538,0.00602285,2.220197941,"Not Sig","Unchanged","Kirrel3","Promoter"
"31175",121400,121400,"2.730913473",538.1625508,1.602990322,0.475131862,3.373779893,0.000741436,0.006667018,2.1760684,"Not Sig","Unchanged","Kirrel3","Promoter"
"31176",121476,121476,"1.888861111",77.42141616,0.103266942,0.455948797,0.226488025,0.820821872,0.901216589,0.045170823,"Not Sig","Unchanged","Kirrel3","Promoter"
"31177",121477,121477,"2.113062455",129.736583,-0.476643048,0.340372021,-1.400359074,0.161405819,0.324762262,0.488434443,"Not Sig","Unchanged","Kirrel3","Promoter"
"31178",121478,121478,"1.527586605",33.6966405,-0.359899182,0.493139004,-0.72981285,0.465504589,0.646589023,0.189371673,"Not Sig","Unchanged","Kirrel3","Promoter"
"31179",121479,121479,"2.421587201",263.9898327,0.569242066,0.32445198,1.754472465,0.079349584,0.198955735,0.701243537,"Not Sig","Unchanged","Kirrel3","Promoter"
"31273",121797,121797,"2.276299004",188.9291644,-0.484876433,0.388988571,-1.246505604,0.212578833,0.39071577,0.408139059,"Not Sig","Unchanged","Sorl1","Promoter"
"31274",121816,121816,"2.656505713",453.4252626,2.122647816,0.605626557,3.504879026,0.000456815,0.004667823,2.33088562,"Sig","Up","Sorl1","Promoter"
"31306",122024,122024,"2.999833752",999.617273,1.241431881,0.305355563,4.065528943,4.79e-05,0.000871441,3.059762062,"Not Sig","Unchanged","Usp2","Promoter"
"31307",122025,122025,"1.175153967",14.96766198,1.452708353,0.676009986,2.148945109,0.031638751,0.103211229,0.986273051,"Not Sig","Unchanged","Usp2","Promoter"
"31308",122026,122026,"2.251034859",178.2521839,1.020363916,0.432596008,2.358699335,0.018339108,0.069418864,1.158522498,"Not Sig","Unchanged","Usp2","Promoter"
"31309",122029,122029,"2.981077338",957.3645421,2.571833951,0.391830351,6.563641487,5.25e-11,2.05e-08,7.687248417,"Sig","Up","Usp2","Promoter"
"31310",122030,122030,"2.60110207",399.1186945,2.509992018,0.311404955,8.060218624,7.62e-16,3.21e-12,11.49401236,"Sig","Up","Usp2","Promoter"
"31311",122031,122031,"1.801628133",63.33271897,2.01752461,0.441699409,4.567641634,4.93e-06,0.000153736,3.813223763,"Sig","Up","Usp2","Promoter"
"31312",122032,122032,"1.518042496",32.96419662,-0.08339603,0.509944561,-0.163539406,0.870093749,0.930022199,0.031506685,"Not Sig","Unchanged","Usp2","Promoter"
"31313",122033,122033,"2.080662508",120.4099866,1.16007685,0.442504745,2.621614485,0.008751436,0.040254563,1.395184884,"Not Sig","Unchanged","Usp2","Promoter"
"31402",122198,122198,"2.141550236",138.5320421,3.019510681,0.647945364,4.660131621,3.16e-06,0.000107736,3.967637859,"Sig","Up","Dscaml1","Promoter"
"31403",122199,122199,"2.825002454",668.3476948,1.412578836,0.473014497,2.98633307,0.002823449,0.01761614,1.754089255,"Not Sig","Unchanged","Dscaml1","Promoter"
"31404",122233,122233,"1.941955322",87.48937665,0.884180396,0.634650748,1.393176324,0.163566477,0.327747715,0.484460328,"Not Sig","Unchanged","Dscaml1","Promoter"
