"","X","res_n.rownames","log_mean_counts","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","annotation","significant","change"
"13",32,"peak32","1.440715545",27.58770322,-0.992783431,0.760872918,-1.304795332,0.191962549,0.306174243,"Sntg1","Promoter","Not Sig","Unchanged"
"14",33,"peak33","1.498763628",31.5328793,-1.556793387,0.682101593,-2.282348264,0.022468787,0.056111849,"Sntg1","Promoter","Not Sig","Unchanged"
"15",34,"peak34","2.578805313",379.1449823,-0.218204595,0.206654243,-1.055892159,0.291017487,0.4186152,"Rrs1","Promoter","Not Sig","Unchanged"
"16",35,"peak35","1.253059002",17.90849136,-1.181730422,0.828323109,-1.426653933,0.15367967,0.258305976,"Vxn","Promoter","Not Sig","Unchanged"
"17",36,"peak36","2.286390755",193.3707381,1.047113011,0.271337531,3.859079154,0.000113815,0.000677677,"2610203C22Rik","Promoter","Sig","Up"
"18",37,"peak37","1.761744228",57.77556857,1.106424801,0.48613683,2.27595346,0.022848795,0.056896138,"2610203C22Rik","Promoter","Not Sig","Unchanged"
"19",39,"peak39","2.466371105",292.6652134,1.025403687,0.226373749,4.529693448,5.91e-06,5.24e-05,"Mybl1","Promoter","Sig","Up"
"20",40,"peak40","1.446206596",27.93872585,0.134186607,0.672121242,0.199646431,0.841757112,0.895954373,"1700034P13Rik","Promoter","Not Sig","Unchanged"
"21",41,"peak41","1.543861154",34.9833306,0.821809001,0.627169264,1.310346423,0.19007867,0.303859019,"1700034P13Rik","Promoter","Not Sig","Unchanged"
"22",42,"peak42","1.738338761",54.74428159,0.138032408,0.482303521,0.28619407,0.774729485,0.847929574,"Vcpip1","Promoter","Not Sig","Unchanged"
"23",43,"peak43","2.177218272",150.3897619,1.491053031,0.31235864,4.773529017,1.81e-06,1.84e-05,"Sgk3","Promoter","Sig","Up"
"24",44,"peak44","1.307908211",20.31927513,-1.008053301,0.798215976,-1.262882892,0.206631269,0.323792273,"Sgk3","Promoter","Not Sig","Unchanged"
"25",45,"peak45","1.156674408",14.34413644,-1.306537871,0.954278234,-1.369137243,0.170956379,0.280141332,"Mcmdc2","Promoter","Not Sig","Unchanged"
"26",46,"peak46","2.665124712",462.5138176,0.431363803,0.190470738,2.264724802,0.023529573,0.058265799,"Snhg6","Promoter","Not Sig","Unchanged"
"27",47,"peak47","2.18064775",151.5820407,0.163831494,0.308707222,0.53070185,0.595625404,0.707532741,"Cspp1","Promoter","Not Sig","Unchanged"
"28",48,"peak48","2.539231472",346.1238069,0.971409592,0.211775378,4.586980802,4.5e-06,4.12e-05,"Cspp1","Promoter","Sig","Unchanged"
"29",49,"peak49","1.384260199",24.22479993,-1.238884567,0.741770742,-1.67017179,0.09488538,0.177598928,"Cspp1","Promoter","Not Sig","Unchanged"
"30",50,"peak50","2.240804269",174.1022042,0.081352454,0.29427234,0.27645294,0.7822002,0.853195227,"Arfgef1","Promoter","Not Sig","Unchanged"
"31",51,"peak51","2.779255969",601.5281675,1.032603203,0.19231229,5.369408289,7.9e-08,1.16e-06,"Arfgef1","Promoter","Sig","Up"
"32",52,"peak52","1.351309842",22.45483363,-0.947135278,0.859228587,-1.102308853,0.270327422,0.396558636,"Cpa6","Promoter","Not Sig","Unchanged"
"33",57,"peak57","1.651413974",44.81402726,-1.164599414,0.550855871,-2.114163568,0.034501299,0.079331072,"Prex2","Promoter","Not Sig","Unchanged"
"34",61,"peak61","1.215152335",16.41165335,-0.862553485,0.948652716,-0.909240516,0.363223182,0.494849214,"Prex2","Promoter","Not Sig","Unchanged"
"35",63,"peak63","2.232286902",170.7209826,-0.179558332,0.280939126,-0.639136081,0.522734409,0.643920484,"A830018L16Rik","Promoter","Not Sig","Unchanged"
"36",71,"peak71","1.607216145",40.47772958,-1.567727093,0.576263181,-2.720505393,0.006518221,0.020478335,"Sulf1","Promoter","Sig","Unchanged"
"37",73,"peak73","1.54641043",35.18928398,-1.771631188,0.707630601,-2.503610196,0.012293339,0.034415547,"Slco5a1","Promoter","Sig","Unchanged"
"38",74,"peak74","1.745866478",55.70144705,-2.077362955,0.494842113,-4.19803186,2.69e-05,0.000196,"Slco5a1","Promoter","Sig","Down"
"39",75,"peak75","2.097270298",125.1037413,-1.335528508,0.336777909,-3.96560604,7.32e-05,0.000463743,"Slco5a1","Promoter","Sig","Unchanged"
"40",76,"peak76","1.239435652",17.35544093,-2.433346971,0.898848301,-2.707183146,0.006785681,0.021171414,"Prdm14","Promoter","Sig","Down"
"41",82,"peak82","2.877287224",753.8539655,0.978487934,0.155345728,6.298775943,3e-10,7.64e-09,"Ncoa2","Promoter","Sig","Unchanged"
"42",84,"peak84","2.60856065",406.0323626,0.64112345,0.199640159,3.211395217,0.001320921,0.005427245,"Tram1","Promoter","Sig","Unchanged"
"43",85,"peak85","2.051908626",112.6960323,0.500631515,0.344544955,1.453022335,0.146217553,0.248583222,"Lactb2","Promoter","Not Sig","Unchanged"
"44",86,"peak86","1.38899613",24.49041416,-1.404329059,0.738168906,-1.902449491,0.057112416,0.118763954,"Gm5523","Promoter","Not Sig","Unchanged"
"45",87,"peak87","1.207648489",16.13052449,-1.444485552,0.929244051,-1.554473821,0.120071436,0.213622923,"Gm5523","Promoter","Not Sig","Unchanged"
"46",93,"peak93","1.790331178",61.7065375,0.025725198,0.452260332,0.056881394,0.954639676,0.971245156,"Eya1","Promoter","Not Sig","Unchanged"
"47",94,"peak94","1.801837069",63.36319511,-2.131514527,0.463227782,-4.60143931,4.2e-06,3.88e-05,"Eya1","Promoter","Sig","Down"
"48",98,"peak98","1.773254216",59.32724967,-3.244034737,0.520821952,-6.228682805,4.7e-10,1.15e-08,"Msc","Promoter","Sig","Down"
"49",99,"peak99","1.500856802",31.68522551,-3.175970271,1.544750312,-2.055976456,0.039784786,0.088852116,"Msc","Promoter","Not Sig","Unchanged"
"50",102,"peak102","2.590801223",389.7635504,-0.055413667,0.206104603,-0.268861861,0.788035987,0.857203685,"Kcnb2","Promoter","Not Sig","Unchanged"
"51",109,"peak109","2.125692699",133.5650093,0.485800103,0.332387794,1.461546159,0.143865618,0.245499493,"Terf1","Promoter","Not Sig","Unchanged"
"52",110,"peak110","1.557899826",36.13265095,-1.929338043,0.628106165,-3.071675063,0.002128613,0.008075057,"Sbspon","Promoter","Sig","Unchanged"
"53",115,"peak115","1.85242248",71.19057154,0.270036638,0.455008931,0.593475468,0.552862996,0.670530256,"4930444P10Rik","Promoter","Not Sig","Unchanged"
"54",116,"peak116","2.864436721",731.8746779,0.417761891,0.161034336,2.594241093,0.009479998,0.027799857,"Rpl7","Promoter","Sig","Unchanged"
"55",122,"peak122","2.455130413",285.1874522,0.40919321,0.226637635,1.805495408,0.070997193,0.141171173,"Stau2","Promoter","Not Sig","Unchanged"
"56",124,"peak124","2.638764061",435.2753379,0.636880603,0.190363162,3.345608446,0.000821022,0.003635692,"Ube2w","Promoter","Sig","Unchanged"
"57",125,"peak125","2.235704567",172.0697656,0.29532408,0.295565611,0.99918282,0.317706137,0.447590968,"Eloc","Promoter","Not Sig","Unchanged"
"58",126,"peak126","2.342581729",220.0805834,0.695732681,0.257779038,2.698949794,0.006955867,0.021606849,"Tmem70","Promoter","Sig","Unchanged"
"59",127,"peak127","1.707795593",51.02647799,-1.048043577,0.504197963,-2.078635087,0.037650904,0.085145239,"Ly96","Promoter","Not Sig","Unchanged"
"60",134,"peak134","2.630368514",426.9416398,0.832740543,0.204777255,4.066567556,4.77e-05,0.000320969,"Jph1","Promoter","Sig","Unchanged"
"61",137,"peak137","2.459407968",288.0102661,1.573612428,0.276961803,5.681694774,1.33e-08,2.34e-07,"Gdap1","Promoter","Sig","Up"
"62",151,"peak151","1.993513592",98.5175476,-0.333199727,0.361753263,-0.921069029,0.357014388,0.488564974,"Mcm3","Promoter","Not Sig","Unchanged"
"63",154,"peak154","2.434526032",271.9731503,0.863678472,0.235899918,3.661207165,0.00025103,0.00133111,"Paqr8","Promoter","Sig","Unchanged"
"64",156,"peak156","1.866572203",73.54822627,1.979831058,0.459153106,4.311919123,1.62e-05,0.000126185,"Paqr8","Promoter","Sig","Up"
"65",157,"peak157","1.839841386",69.15783447,3.065706848,0.500291104,6.127846021,8.91e-10,2.06e-08,"Paqr8","Promoter","Sig","Up"
"66",158,"peak158","2.257760068",181.033967,1.322502085,0.302672832,4.369411269,1.25e-05,0.000100367,"Paqr8","Promoter","Sig","Up"
"67",161,"peak161","1.980368987",95.58043156,-0.117088248,0.38823141,-0.301593959,0.762961614,0.838887942,"Efhc1","Promoter","Not Sig","Unchanged"
"68",164,"peak164","1.982823723",96.12220459,0.15772937,0.37882408,0.416365744,0.677142391,0.773321586,"Tram2","Promoter","Not Sig","Unchanged"
"69",170,"peak170","1.823036009",66.53283183,-0.356395441,0.438440312,-0.812871059,0.416291989,0.546727137,"Tmem14a","Promoter","Not Sig","Unchanged"
"70",178,"peak178","2.455993312",285.754654,-1.540663526,0.247705476,-6.219739459,4.98e-10,1.2e-08,"Kcnq5","Promoter","Sig","Unchanged"
"71",195,"peak195","2.581586167",381.580495,0.904568517,0.203949689,4.435253234,9.2e-06,7.71e-05,"Rims1","Promoter","Sig","Unchanged"
"72",200,"peak200","1.774586322",59.50950289,0.897057169,0.474743375,1.889562268,0.058816528,0.121557288,"Ppp1r14bl","Promoter","Not Sig","Unchanged"
"73",201,"peak201","1.364589018",23.15202687,1.507792712,0.783033334,1.925579215,0.054156936,0.113912036,"Ppp1r14bl","Promoter","Not Sig","Unchanged"
"74",205,"peak205","2.553434694",357.6306185,1.306147491,0.218076135,5.98941049,2.11e-09,4.46e-08,"Ogfrl1","Promoter","Sig","Up"
"75",208,"peak208","1.334848044",21.61961939,-1.745225719,0.89258457,-1.955249707,0.050553604,0.107792176,"Gm28822","Promoter","Not Sig","Unchanged"
"76",213,"peak213","2.587864231",387.1365994,0.146599305,0.215050958,0.681695662,0.495431411,0.619781854,"B3gat2","Promoter","Not Sig","Unchanged"
"77",216,"peak216","2.376894026",238.1738221,0.469419748,0.248602817,1.888231814,0.058994837,0.121863871,"Smap1","Promoter","Not Sig","Unchanged"
"78",217,"peak217","2.304397427",201.5567871,0.863042445,0.277696785,3.107858967,0.00188448,0.007298209,"Smap1","Promoter","Sig","Unchanged"
"79",218,"peak218","2.398689753",250.4319601,0.875812605,0.242030635,3.618602274,0.000296198,0.001532791,"Sdhaf4","Promoter","Sig","Unchanged"
"80",219,"peak219","2.398762286",250.4737895,0.079068383,0.244382582,0.323543447,0.74628371,0.826938299,"Fam135a","Promoter","Not Sig","Unchanged"
