,X,res_2.rownames,log_mean_counts,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpadj,significant,change,SYMBOL,annotation
174,5040,peak5040,0.858308487,7.216198764,2.962420273,1.042591572,2.841400555,0.004491586,0.045113099,1.345697339,Sig,Up,Mettl16,Promoter
175,5057,peak5057,0.981197508,9.576294815,2.366678152,0.756850431,3.127009056,0.001765945,0.024529994,1.610302562,Sig,Up,Inpp5k,Promoter
181,5385,peak5385,1.110864344,12.90816013,2.202380453,0.67630942,3.256468691,0.001128074,0.017912129,1.746852792,Sig,Up,Cacna1g,Promoter
182,5490,peak5490,0.88255926,7.630610053,3.283025219,0.978274764,3.355933671,0.000790975,0.013971652,1.854752229,Sig,Up,Cdk5rap3,Promoter
183,5644,peak5644,1.845620523,70.08426497,1.174137887,0.263385217,4.457873152,8.28E-06,0.000471586,3.326439533,Sig,Up,Hsd17b1,Promoter
184,5681,peak5681,1.770254973,58.91894657,1.079721675,0.287886738,3.750508558,0.000176476,0.004822911,2.316690751,Sig,Up,Meioc,Promoter
185,5682,peak5682,1.982648308,96.083388,1.232322868,0.225039852,5.476020615,4.35E-08,5.88E-06,5.230397372,Sig,Up,Meioc,Promoter
187,5703,peak5703,1.16480893,14.61534023,1.754451286,0.602308481,2.912878271,0.003581142,0.038647968,1.412873339,Sig,Up,Map3k14,Promoter
188,5765,peak5765,0.816744828,6.55759858,3.1108525,1.025587936,3.033238195,0.002419445,0.030055619,1.522074322,Sig,Up,Smurf2,Promoter
189,5791,peak5791,1.071193162,11.78129855,2.311169155,0.744041166,3.106238285,0.00189484,0.025593087,1.591877324,Sig,Up,Wipi1,Promoter
194,6024,peak6024,0.841211448,6.937635015,2.613173751,0.912474128,2.863833254,0.004185483,0.042884962,1.367694966,Sig,Up,Usp36,Promoter
196,6063,peak6063,0.77598638,5.97016563,4.776297821,1.356305149,3.521551049,0.00042903,0.009168449,2.037704141,Sig,Up,Pde6g,Promoter
